=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:17.892] [R2] started
[22:43:19.666] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:19.675] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:19.679] [W1] wrote: "Race!"
[22:43:19.681] [W2] wrote: "Race!"
[22:43:19.682] [W5] wrote: "Race!"
[22:43:19.682] [R4] read: "Race!"
[22:43:19.684] [R1] read: "Race!"
[22:43:19.696] [R3] read: "Race!"
[22:43:19.697] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.706] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.707] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:19.709] [W4] wrote: "Race!"
[22:43:19.709] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.718] [W6] wrote: "Race!"
[22:43:19.720] [R4] read: "Race!"
[22:43:19.720] [R5] read: "Race!"
[22:43:19.722] [R3] read: "Race!"
[22:43:19.727] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.729] [W8] wrote: "Race!"
[22:43:19.736] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.738] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.742] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.744] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.748] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.762] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.766] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.766] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.767] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.770] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.772] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.772] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.776] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.794] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:19.796] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.798] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:19.802] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.805] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.810] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:19.815] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:19.816] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:19.835] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:19.836] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.837] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:19.842] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.842] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.848] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.848] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.850] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.857] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:19.859] [W7] wrote: "AB"
[22:43:19.864] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.870] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.873] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.877] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:19.882] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:19.883] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.886] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.886] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.902] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:19.904] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:19.917] [W3] wrote: "AB"
[22:43:19.919] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.921] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.923] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.925] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.926] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.930] [W1] wrote: "AB"
[22:43:19.931] [R1] read: "AB"
[22:43:19.936] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.938] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.939] [W2] wrote: "AB"
[22:43:19.947] [R4] read: "AB"
[22:43:19.949] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.952] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:19.958] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:19.970] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:19.972] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:19.974] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:19.982] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:19.982] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:19.991] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:19.994] [W6] wrote: "AB"
[22:43:20.002] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.006] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.006] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.007] [W8] wrote: "AB"
[22:43:20.008] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.010] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.012] [W5] wrote: "AB"
[22:43:20.021] [R3] read: "AB"
[22:43:20.027] [W4] wrote: "AB"
[22:43:20.027] [R5] read: "AB"
[22:43:20.033] [R2] read: "AB"
[22:43:20.039] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.048] [W7] wrote: "Test"
[22:43:20.054] [R1] read: "Test"
[22:43:20.057] [R3] read: "Test"
[22:43:20.061] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.062] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.064] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.066] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.071] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.082] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.090] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.090] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.092] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.095] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.102] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.113] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:20.116] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.120] [W3] wrote: "Test"
[22:43:20.120] [W2] wrote: "Test"
[22:43:20.122] [R5] read: "Test"
[22:43:20.126] [R3] read: "Test"
[22:43:20.131] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.132] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.136] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.147] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.149] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.159] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.160] [W1] wrote: "Test"
[22:43:20.164] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.171] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.171] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.176] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.183] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.183] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.190] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:20.196] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.204] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.206] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.207] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.216] [W6] wrote: "Test"
[22:43:20.218] [R2] read: "Test"
[22:43:20.220] [W5] wrote: "Test"
[22:43:20.222] [W8] wrote: "Test"
[22:43:20.223] [R4] read: "Test"
[22:43:20.230] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.232] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.233] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.235] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.241] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.245] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.250] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.253] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.256] [W3] wrote: "!"
[22:43:20.257] [R1] read: "!"
[22:43:20.263] [W7] wrote: "!"
[22:43:20.267] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.276] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.279] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.284] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.287] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.290] [W4] wrote: "Test"
[22:43:20.299] [R1] read: "Test"
[22:43:20.305] [R3] read: "Test"
[22:43:20.306] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.307] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.308] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.319] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.323] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.326] [W2] wrote: "!"
[22:43:20.335] [R2] read: "!"
[22:43:20.337] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.337] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.349] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.352] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.353] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.355] [W1] wrote: "!"
[22:43:20.357] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.365] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:20.369] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.373] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.378] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.382] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.387] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.391] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:20.391] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.392] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.394] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.400] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.404] [W5] wrote: "!"
[22:43:20.409] [R3] read: "!"
[22:43:20.411] [R2] read: "!"
[22:43:20.418] [W3] wrote: "A"
[22:43:20.420] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.421] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:20.427] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.436] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.436] [W8] wrote: "!"
[22:43:20.438] [R1] read: "!"
[22:43:20.442] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.451] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:20.452] [W6] wrote: "!"
[22:43:20.456] [R3] read: "!"
[22:43:20.458] [W7] wrote: "A"
[22:43:20.458] [W3] wrote: "Hello World!"
[22:43:20.460] [R5] read: "Hello World!"
[22:43:20.468] [W2] wrote: "A"
[22:43:20.472] [R2] read: "A"
[22:43:20.478] [R4] read: "A"
[22:43:20.484] [R1] read: "A"
[22:43:20.502] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.503] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:20.505] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:20.516] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.517] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.520] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.526] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.528] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.532] [W4] wrote: "!"
[22:43:20.533] [R2] read: "!"
[22:43:20.533] [R1] read: "!"
[22:43:20.533] [W2] wrote: "Hello World!"
[22:43:20.534] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.543] [W7] wrote: "Hello World!"
[22:43:20.553] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.553] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:20.554] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:20.557] [R4] read: "Operating systems manage hardware and software resources."
[22:43:20.561] [R3] read: "Operating systems manage hardware and software resources."
[22:43:20.562] [W1] wrote: "A"
[22:43:20.566] [R1] read: "A"
[22:43:20.569] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.587] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.588] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.599] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.602] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.604] [W3] wrote: "X"
[22:43:20.605] [R5] read: "X"
[22:43:20.610] [W5] wrote: "A"
[22:43:20.612] [R4] read: "A"
[22:43:20.618] [R3] read: "A"
[22:43:20.622] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:20.623] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.629] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.633] [W8] wrote: "A"
[22:43:20.642] [R4] read: "A"
[22:43:20.644] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.645] [W1] wrote: "Hello World!"
[22:43:20.645] [R1] read: "Hello World!"
[22:43:20.646] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.661] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.662] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.664] [W5] wrote: "Hello World!"
[22:43:20.665] [R4] read: "Hello World!"
[22:43:20.668] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:20.670] [R1] read: "Operating systems manage hardware and software resources."
[22:43:20.676] [R2] read: "Operating systems manage hardware and software resources."
[22:43:20.678] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:20.678] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:20.691] [R4] read: "Operating systems manage hardware and software resources."
[22:43:20.692] [W6] wrote: "A"
[22:43:20.700] [R3] read: "A"
[22:43:20.707] [W7] wrote: "X"
[22:43:20.713] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.715] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.716] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.727] [W8] wrote: "Hello World!"
[22:43:20.732] [R3] read: "Hello World!"
[22:43:20.734] [W6] wrote: "Hello World!"
[22:43:20.736] [R2] read: "Hello World!"
[22:43:20.737] [W4] wrote: "A"
[22:43:20.740] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:20.741] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:20.746] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.747] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.749] [W2] wrote: "X"
[22:43:20.753] [R5] read: "X"
[22:43:20.753] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.767] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:20.771] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.776] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.777] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.778] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.779] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.781] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.782] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.805] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.810] [W3] wrote: "Race!"
[22:43:20.821] [W4] wrote: "Hello World!"
[22:43:20.821] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:20.822] [W1] wrote: "X"
[22:43:20.827] [R2] read: "X"
[22:43:20.827] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:20.828] [R5] read: "Operating systems manage hardware and software resources."
[22:43:20.833] [R3] read: "Operating systems manage hardware and software resources."
[22:43:20.835] [R4] read: "Operating systems manage hardware and software resources."
[22:43:20.835] [R1] read: "Operating systems manage hardware and software resources."
[22:43:20.843] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:20.845] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:20.850] [R2] read: "Operating systems manage hardware and software resources."
[22:43:20.856] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:20.857] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:20.861] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:20.863] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.872] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.874] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:20.875] [W8] wrote: "X"
[22:43:20.884] [R5] read: "X"
[22:43:20.895] [R3] read: "X"
[22:43:20.895] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.901] [W5] wrote: "X"
[22:43:20.901] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:20.904] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:20.908] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:20.911] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:20.911] [R4] read: "Operating systems manage hardware and software resources."
[22:43:20.913] [W6] wrote: "X"
[22:43:20.924] [W2] wrote: "Race!"
[22:43:20.928] [R2] read: "Race!"
[22:43:20.931] [R3] read: "Race!"
[22:43:20.932] [R1] read: "Race!"
[22:43:20.935] [W7] wrote: "Race!"
[22:43:20.937] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:20.938] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.940] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:20.950] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:20.960] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:20.963] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.965] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.975] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:20.979] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:20.983] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.987] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.992] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.992] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:20.993] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:20.994] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:20.998] [W4] wrote: "X"
[22:43:21.003] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:21.007] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.014] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.015] [W5] wrote: "Race!"
[22:43:21.023] [R5] read: "Race!"
[22:43:21.030] [W1] wrote: "Race!"
[22:43:21.031] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:21.032] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:21.036] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:21.037] [W8] wrote: "Race!"
[22:43:21.039] [R1] read: "Race!"
[22:43:21.040] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.044] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:21.053] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.057] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.058] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.061] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.065] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:21.081] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:21.084] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:21.085] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:21.096] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.105] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.106] [W3] wrote: "AB"
[22:43:21.108] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.109] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.111] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.111] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.112] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:21.115] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:21.118] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:21.123] [W6] wrote: "Race!"
[22:43:21.124] [R5] read: "Race!"
[22:43:21.128] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.140] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.144] [W4] wrote: "Race!"
[22:43:21.146] [R2] read: "Race!"
[22:43:21.154] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.156] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.158] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.159] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.161] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.161] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:21.162] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.163] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.166] [W7] wrote: "AB"
[22:43:21.180] [W2] wrote: "AB"
[22:43:21.192] [R3] read: "AB"
[22:43:21.193] [R2] read: "AB"
[22:43:21.197] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.203] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.209] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.209] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.219] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.221] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:21.222] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.223] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.224] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.226] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.232] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.245] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.247] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.250] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.255] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.255] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.257] [W3] wrote: "Test"
[22:43:21.261] [R5] read: "Test"
[22:43:21.265] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:21.268] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:21.269] [W5] wrote: "AB"
[22:43:21.281] [R1] read: "AB"
[22:43:21.284] [W8] wrote: "AB"
[22:43:21.285] [R5] read: "AB"
[22:43:21.285] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.286] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.302] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.308] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.310] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.317] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.320] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.324] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.324] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.326] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:21.327] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:21.333] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:21.338] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:21.338] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:21.344] [W6] wrote: "AB"
[22:43:21.347] [R3] read: "AB"
[22:43:21.348] [W1] wrote: "AB"
[22:43:21.358] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.358] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.366] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.366] [W7] wrote: "Test"
[22:43:21.367] [R4] read: "Test"
[22:43:21.368] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:21.381] [W4] wrote: "AB"
